department,day,time_from,time_to,subject,type,instructor,location,section
SE,الاثنين,11:00,12:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,1
SE,الاثنين,11:00,12:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,2
SE,الاثنين,11:00,12:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,3
SE,الاثنين,11:00,12:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,5
SE,الاثنين,13:00,14:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,مدرج C215,عام
SE,الاثنين,13:00,14:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,5
SE,الاثنين,13:00,14:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,4
SE,الاثنين,13:00,14:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,6
SE,الاثنين,13:00,14:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,7
SE,الاثنين,15:00,16:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,1
SE,الاثنين,15:00,16:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,2
SE,الاثنين,15:00,16:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,3
SE,الاثنين,15:00,16:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,8
SE,الاثنين,15:00,16:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,مدرج C215,7
SE,الثلاثاء,09:00,10:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,4
SE,الثلاثاء,11:00,12:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,عام
SE,الثلاثاء,11:00,12:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,7
SE,الثلاثاء,13:00,14:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,2
SE,الثلاثاء,13:00,14:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,1
SE,الثلاثاء,15:00,16:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,3
SE,الثلاثاء,15:00,16:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,8
SE,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/نهاد عبدالرحيم,معمل C105,1
SE,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,2
SE,الأربعاء,09:00,10:00,تصميم البرمجيات,سكشن,م/الحسن محمد,معمل حاسب C106,3
SE,الأربعاء,09:00,10:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,4
SE,الأربعاء,09:00,10:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,5
SE,الأربعاء,09:00,10:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,6
SE,الأربعاء,09:00,10:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,8
SE,الأربعاء,11:00,12:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,3
SE,الأربعاء,11:00,12:00,تصميم البرمجيات,سكشن,م/الحسن محمد,معمل حاسب C106,4
SE,الأربعاء,11:00,12:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,5
SE,الأربعاء,11:00,12:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,6
SE,الأربعاء,11:00,12:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,7
SE,الأربعاء,12:00,13:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,8
SE,الأربعاء,13:00,14:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,1
SE,الأربعاء,13:00,14:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,2
SE,الأربعاء,13:00,14:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,4
SE,الأربعاء,13:00,14:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,6
SE,الأربعاء,13:00,14:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,8
SE,الأربعاء,15:00,16:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,1
SE,الأربعاء,15:00,16:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,2
SE,الأربعاء,15:00,16:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,3
SE,الأربعاء,15:00,16:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,7
SE,الخميس,09:00,10:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,عام
SE,الخميس,10:00,11:00,بناء البرمجيات,محاضرة,أ.م.د/ممدوح فاروق محمد,اونلاين,1
SE,الخميس,10:00,11:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,2
SE,الخميس,11:00,12:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,اونلاين,عام
SE,الخميس,12:00,13:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,اونلاين,4
SE,الخميس,13:00,14:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,اونلاين,عام
SE,الخميس,14:00,15:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,اونلاين,5
SE,الخميس,15:00,16:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,اونلاين,عام
SE,الخميس,16:00,17:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,اونلاين,4
